id	instagram_id	shortcode	media_url	caption	timestamp	location	lat	lng	region	reasoning
1	1012327861066298270	4MgtN7FnOe	public/media/ourearthsandwich_1.jpg	Avast me mateys, thar yonder port be a ripe for the taking!	2015-06-21T15:01:46+0000	Hudson River, New York Harbor, New York, USA	40.6892	-74.0445	JFK	
2	1015202770431930740	4WuYp6lnF0	public/media/ourearthsandwich_2.jpg	We've been staring at this map on our wall for 4 years	2015-06-25T14:13:42+0000	Hudson River, New York Harbor, New York, USA				fallback: no observable evidence in image/caption; location copied from prior post (Hudson River, New York Harbor, New York, USA). lat/lng/region left empty so downstream consumers can identify fallback rows.
3	1015315166311903646	4XH8OvFnGe	public/media/ourearthsandwich_3.jpg	There's now a voodoo doll of me getting jabbed somewhere in the upper west side #craigslist #grrmondays	2015-06-25T17:57:01+0000	Upper West Side, New York, USA	40.8044	-73.9480	JFK	
4	1015648181776970079	4YTqPjlnFf	public/media/ourearthsandwich_4.jpg	All you really need	2015-06-26T04:58:39+0000	Upper West Side, New York, USA				fallback: no observable evidence in image/caption; location copied from prior post (Upper West Side, New York, USA). lat/lng/region left empty so downstream consumers can identify fallback rows.
5	1015927431415361752	4ZTJ3DFnDY	public/media/ourearthsandwich_5.jpg	Guess I won't be needing this anymore #adiosamigos	2015-06-26T14:13:29+0000	John F. Kennedy International Airport, Queens, New York, USA	40.6413	-73.7781	JFK	"Looking at the boarding pass, I can see:
- Virgin America flight VX 23
- Departure: New York/JFK
- Destination: appears to be Los Angeles (LAX) based on ""LAS"" visible
- Date: 26 JUN 15
- Boarding: 9:05AM

The MTA MetroCard confirms the person is in New York. The caption ""Guess I won't be needing this anymore #adiosamigos"" suggests they're leaving New York (no longer needing the MetroCard).

The boarding pass shows ""New York/JFK"" as departure, so the photo is likely taken at JFK Airport."
6	1016133903889887471	4aCGbhlnDv	public/media/ourearthsandwich_6.jpg	Virgin airlines is all about fun. That's why we played chicken at SFO for the right to land and live #radical	2015-06-26T21:03:42+0000	San Francisco International Airport approach, San Francisco Bay, California, USA	37.6213	-122.3790	SFO	"Looking at the evidence:

1. Caption mentions ""SFO"" explicitly - San Francisco International Airport
2. The image shows a marina/harbor visible below, consistent with the San Francisco Bay Area
3. Another American Airlines aircraft is visible nearby (the caption humorously says ""Virgin airlines"" but the plane clearly shows American Airlines livery)
4. The winglet shows an American flag design
5. The aerial view shows a coastal marina, urban sprawl, and hills in the background - consistent with the East Bay/Oakland area near SFO
6. The marina visible below appears to be in the Oakland/Alameda or similar Bay Area marina

The location appears to be approaching SFO, with the marina below looking like it could be in the Oakland/Alameda area or possibly near the Brisbane/South SF area approaching SFO."
7	1016733952680292959	4cKiSglnJf	public/media/ourearthsandwich_7.jpg	Wtf kind of bruise is this? Either I got kicked by a pony or I clotheslined an octopus last night #animalcontrol #vegas	2015-06-27T16:55:53+0000	Las Vegas, Nevada, USA	36.1699	-115.1398	LAS	
8	1017874318372532744	4gN0y0lnII	public/media/ourearthsandwich_8.jpg	Maybe the wine cellars at the Bellagio, or maybe a strip mall Thai joint with a killer duck panang for $10, #vegas has no rules	2015-06-29T06:41:36+0000	Bellagio Hotel & Casino, Las Vegas, Nevada, USA	36.1126	-115.1767	LAS	"The caption mentions ""the wine cellars at the Bellagio"" and ""#vegas"" — the Bellagio is a specific, well-known hotel in Las Vegas. The image shows an extensive wine cellar/wine shop with wooden racks, consistent with an upscale Vegas establishment. The caption's reference to the Bellagio wine cellar as a possibility, combined with the #vegas hashtag, provides reasonable confidence this is at or near the Bellagio in Las Vegas."
9	1020503595446333457	4pjpz6lnAR	public/media/ourearthsandwich_9.mp4	That's what commitment looks like	2015-07-02T21:45:30+0000	Bellagio Hotel & Casino, Las Vegas, Nevada, USA				fallback: no observable evidence in image/caption; location copied from prior post (Bellagio Hotel & Casino, Las Vegas, Nevada, USA). lat/lng/region left empty so downstream consumers can identify fallback rows.
10	1021331883697795887	4sf-_dlnMv	public/media/ourearthsandwich_10.jpg	Impressive, Canada. The student has become the teacher #americafuckyeah #imlovinit	2015-07-04T01:11:09+0000	Canada (McDonald's restaurant)			YYZ	
11	1024133501149409549	42c_5ClnEN	public/media/ourearthsandwich_11.jpg	This is also how I hug Wela #lennypetting	2015-07-07T21:57:28+0000	Canada (McDonald's restaurant)				fallback: no observable evidence in image/caption; location copied from prior post (Canada (McDonald's restaurant)). lat/lng/region left empty so downstream consumers can identify fallback rows.
12	1024868048761680078	45EA90FnDO	public/media/ourearthsandwich_12.jpg	Ah Costco, where else could I get two liters of ranch dressing, a diamond ring, and agoraphobia all in one stop? #capitalism	2015-07-08T22:16:53+0000	Costco				
13	1026465172850897357	4-vKLiFnHN	public/media/ourearthsandwich_13.jpg	I'm so glad there are still restaurants that give you crayons #idontwannagrowup	2015-07-11T03:10:05+0000	Costco				fallback: no observable evidence in image/caption; location copied from prior post (Costco). lat/lng/region left empty so downstream consumers can identify fallback rows.
14	1027050882733601302	5A0VYXlnIW	public/media/ourearthsandwich_14.jpg	You win this round, child's plaything	2015-07-11T22:33:47+0000	Costco				fallback: no observable evidence in image/caption; location copied from prior post (Costco). lat/lng/region left empty so downstream consumers can identify fallback rows.
15	1029297918866518865	5IzQD2FnNR	public/media/ourearthsandwich_15.jpg	I always feel like a rock star when I walk out on the tarmac, even though this is also how refugees board planes	2015-07-15T00:58:15+0000	Vancouver International Airport, Richmond, British Columbia, Canada	49.1967	-123.1815	YVR	"I can see a small turboprop aircraft (appears to be a Dash 8/De Havilland Canada DHC-8) with the number ""319"" visible on the nose. There appears to be a red maple leaf logo partially visible, suggesting this is an Air Canada Jazz or similar Canadian regional carrier. The tarmac boarding scene and background skyline with mountains visible in the distance is consistent with Vancouver International Airport (YVR), which is known for tarmac boarding of regional turboprop flights. The distant mountains and flat terrain are characteristic of the Vancouver area."
16	1030957932232471235	5OssbxFnLD	public/media/ourearthsandwich_16.jpg	Reservoir Dogs on holiday	2015-07-17T07:56:24+0000	"I can observe in the image:
- A waterfront promenade/boardwalk
- A large body of water (bay or sound)
- Mountains visible across the water
- A sunset scene
- The caption ""Reservoir Dogs on holiday"" (Tarantino film reference, not a location cue)
- Nearby posts suggest Vancouver area

The geographic features are distinctive: a wide bay/sound with mountains across the water, a pebbled beach alongside a paved promenade, and the specific mountain silhouette. This matches **Alki Beach in West Seattle** or **Waterfront Park in Seattle** overlooking Puget Sound and the Olympic Mountains — OR it could be Vancouver's English Bay/Sunset Beach with mountains across the water.

The nearby posts include Vancouver International Airport, suggesting Vancouver. English Bay/Sunset Beach in Vancouver shows exactly this view: mountains across the water, pebbled beach, paved promenade, and spectacular sunsets. The mountain profile and beach characteristics are consistent with English Bay, Vancouver.

{""location"": ""English Bay Beach, Vancouver, British Columbia, Canada"", ""lat"": ""49.2827"", ""lng"": ""-123.1"				"I can observe in the image:
- A waterfront promenade/boardwalk
- A large body of water (bay or sound)
- Mountains visible across the water
- A sunset scene
- The caption ""Reservoir Dogs on holiday"" (Tarantino film reference, not a location cue)
- Nearby posts suggest Vancouver area

The geographic features are distinctive: a wide bay/sound with mountains across the water, a pebbled beach alongside a paved promenade, and the specific mountain silhouette. This matches **Alki Beach in West Seattle** or **Waterfront Park in Seattle** overlooking Puget Sound and the Olympic Mountains — OR it could be Vancouver's English Bay/Sunset Beach with mountains across the water.

The nearby posts include Vancouver International Airport, suggesting Vancouver. English Bay/Sunset Beach in Vancouver shows exactly this view: mountains across the water, pebbled beach, paved promenade, and spectacular sunsets. The mountain profile and beach characteristics are consistent with English Bay, Vancouver.

{""location"": ""English Bay Beach, Vancouver, British Columbia, Canada"", ""lat"": ""49.2827"", ""lng"": ""-123.1"
17	1030959716380340966	5OtGZYlnLm	public/media/ourearthsandwich_17.jpg	The green wizard's neighborhood is really getting gentrified	2015-07-17T07:59:57+0000	Alki Beach Park, Seattle, United States	47.580989	-122.406729	SEA	
18	1030960907956941572	5OtXvIFnME	public/media/ourearthsandwich_18.jpg	Next stop, Atlantis	2015-07-17T08:02:19+0000	Alki Beach Park, Seattle, United States	47.580989	-122.406729	SEA	
19	1030963552767603506	5Ot-OTFnMy	public/media/ourearthsandwich_19.jpg	2015 finalists in the western conference tree pose championships	2015-07-17T08:07:34+0000	Seattle Aquarium, Seattle, United States	47.607560000764	-122.34262076207	SEA	
20	1035749367733448862	5fuI_0FnCe	public/media/ourearthsandwich_20.jpg	Open bar and sharks, a winning combination	2015-07-23T22:36:07+0000	"I need to analyze the image for location clues.

Observable evidence:
- Crystal clear, turquoise/teal shallow water typical of the Caribbean or Bahamas
- White sandy beach
- Wooden pier/dock structure in background
- Tropical setting with clear blue sky
- A nurse shark being handled on a leash
- Caption mentions ""open bar and sharks""
- The specific shade of turquoise water and white sand is characteristic of the Bahamas

The shark feeding/interaction with tourists on a beach with this specific turquoise water color, wooden dock structure, and the style of the tourist attraction strongly resembles **Compass Cay** or more likely **Staniel Cay** or **Bimini** in the Bahamas — but the most famous shark feeding beach attraction in the Bahamas matching this exact setup (wooden shack bar, shallow turquoise water, nurse sharks on leashes for tourist interaction) is **Compass Cay, Exumas, Bahamas** or **Bimini Big Game Club**.

The setup most closely matches **Compass Cay Marina** in the Exumas, Bahamas, which is"				"I need to analyze the image for location clues.

Observable evidence:
- Crystal clear, turquoise/teal shallow water typical of the Caribbean or Bahamas
- White sandy beach
- Wooden pier/dock structure in background
- Tropical setting with clear blue sky
- A nurse shark being handled on a leash
- Caption mentions ""open bar and sharks""
- The specific shade of turquoise water and white sand is characteristic of the Bahamas

The shark feeding/interaction with tourists on a beach with this specific turquoise water color, wooden dock structure, and the style of the tourist attraction strongly resembles **Compass Cay** or more likely **Staniel Cay** or **Bimini** in the Bahamas — but the most famous shark feeding beach attraction in the Bahamas matching this exact setup (wooden shack bar, shallow turquoise water, nurse sharks on leashes for tourist interaction) is **Compass Cay, Exumas, Bahamas** or **Bimini Big Game Club**.

The setup most closely matches **Compass Cay Marina** in the Exumas, Bahamas, which is"
21	1037643022790455831	5mctThFnIX	public/media/ourearthsandwich_21.jpg	Congrats to the beautiful new Mr. and Mrs. Wissman	2015-07-26T13:18:29+0000	Compass Point Beach Resort, Nassau, Bahamas	25.064334775624	-77.480053753964	NAS	
22	1037854635879461280	5nM0rkFnGg	public/media/ourearthsandwich_22.jpg	Let there be no doubt which table was the most rocking last night	2015-07-26T20:18:55+0000	Compass Point Beach Resort, Nassau, Bahamas	25.064334775624	-77.480053753964	NAS	
23	1038275034912026681	5osaSrFnA5	public/media/ourearthsandwich_23.jpg	After an aborted attempt to break into the particle physics game, Toronto cleverly refit their Hadron Collider into an efficient transit solution	2015-07-27T10:14:10+0000	Toronto, Ontario, Canada	43.648	-79.3872	YYZ	
24	1039690639011639713	5tuSCulnGh	public/media/ourearthsandwich_24.jpg	Some street art and political commentary in a Dublin back alley, right outside a bar of course	2015-07-29T09:06:44+0000	Dublin, Dublin, Ireland	53.3476	-6.2591	DUB	
25	1039693755547283935	5tu_ZOlnHf	public/media/ourearthsandwich_25.jpg	A cobblestone passage through a medieval city wall, complete with a bar and a drunk stumbling home on a Wednesday morning, everything I ever hoped Ireland would be	2015-07-29T09:12:55+0000	Dublin, Dublin, Ireland	53.3476	-6.2591	DUB	
26	1039696842471141920	5tvsUJlnIg	public/media/ourearthsandwich_26.jpg	There was a lot controversy when St. Patrick's Cathedral selected Dr Suess as their landscaper, nonetheless the archdiocese has stood steadfast by their choice	2015-07-29T09:19:03+0000	Saint Patrick's Cathedral, Dublin, Ireland	53.3392	-6.27152	DUB	
27	1039749504424112739	5t7qpalnJj	public/media/ourearthsandwich_27.jpg	I'm gonna guess 2 Michelin stars	2015-07-29T11:03:41+0000	Buffet B79, Parnell Street, Dublin, Ireland	53.3516	-6.2649	DUB	"The sign shows ""79 Dishes for €7.99"" — the euro currency confirms Ireland or continental Europe. The nearby posts suggest Dublin, Ireland. The restaurant is ""Buffet B79"" offering Indian, Chinese, Japanese, Italian, and Thai cuisine. Searching for ""Buffet 79"" in Dublin, this appears to be located on Parnell Street, Dublin, which is known for its multicultural restaurants."
28	1040734666154734473	5xbqoxlnOJ	public/media/ourearthsandwich_28.jpg	I like Ireland's binary approach to banking: Money is Yes	2015-07-30T19:41:01+0000	Dublin, Dublin, Ireland	53.3476	-6.2591	DUB	
